dst_mac,src_mac,dst_ip,src_ip,dst_port,src_port,length,vlan,pcp,nop,await0,await1,prot
20:4b:e7:10:7a:46,cd:56:45:e3:61:57,157.44.166.11,181.194.143.230,23242,19083,173,3294,2,52701,108,102,0
eb:4d:de:b3:42:66,c3:70:ac:14:fb:5e,227.254.19.144,8.37.141.33,52190,19697,895,894,6,52645,84,67,0
ee:45:44:7f:fb:a1,2f:ae:bd:be:a3:4a,161.23.185.130,11.107.1.119,15704,49887,1267,2277,6,30119,122,78,0
da:dc:4e:80:32:be,6c:10:e6:7f:d2:6c,142.248.100.149,130.121.222.34,5894,62468,389,2883,1,6766,119,125,0
d3:81:98:0f:8b:c9,6e:a2:ed:a8:83:bd,159.48.9.18,232.247.93.255,55414,62301,1035,2091,6,6559,101,86,1
4e:95:db:04:01:a0,b9:03:1e:9e:87:3d,249.114.121.202,193.123.45.209,62321,3430,820,911,5,6543,76,17,0
31:eb:39:01:f9:10,26:0c:a7:33:18:8f,173.153.0.229,181.194.143.230,59358,13495,1154,2125,1,2636,42,69,1
95:0a:37:42:96:31,63:ca:7e:2a:f9:35,194.19.217.105,242.168.13.252,11439,28664,1472,1598,2,7374,71,124,1
15:b5:05:ec:29:b8,5d:a2:94:c0:ea:a5,190.44.106.31,87.45.61.88,745,13835,1014,1496,4,22784,100,61,1
93:53:33:07:0e:0f,9b:c2:17:6a:ad:4c,181.194.143.230,232.247.93.255,55771,55838,1220,2619,3,11456,3,14,0
88:b4:6a:38:3c:71,eb:25:de:6c:26:2d,223.200.229.98,135.113.236.161,22761,23667,1248,232,1,38808,122,119,0
9a:46:33:cc:a7:ea,2c:5f:0f:d0:28:76,252.201.137.59,173.153.0.229,59410,6036,1380,1222,6,39702,25,53,1
20:4b:e7:10:7a:46,c7:3a:e1:8a:07:59,88.156.194.252,120.50.251.121,5255,55369,226,3064,3,48332,66,103,0
c9:a9:ff:b5:a3:56,b2:a7:80:af:68:2c,96.171.130.202,242.168.13.252,7723,42926,881,1995,0,48867,33,108,1
fb:63:ae:19:72:ab,42:6f:32:f0:b9:cc,59.242.239.27,211.80.37.93,39653,34721,66,254,4,60366,92,100,0
fa:8c:5e:81:e7:74,43:ad:4c:b1:4c:8d,47.17.206.19,22.2.45.162,49315,9431,1375,437,0,28338,49,8,1
12:a1:ba:60:2a:8e,e1:ff:b7:8d:eb:17,72.244.48.124,36.28.97.230,56335,16420,801,1529,1,27091,64,15,1
fb:63:ae:19:72:ab,eb:25:de:6c:26:2d,183.65.196.80,37.255.177.14,20370,54825,636,428,5,7693,96,65,1
a3:3e:a5:86:76:81,b2:a7:80:af:68:2c,148.32.149.134,112.42.11.171,43811,28022,280,1980,3,43189,103,106,0
4a:f2:40:a1:d3:28,d9:ad:9d:59:72:cb,139.159.68.66,200.94.176.103,7795,49756,649,879,5,9317,34,27,1
15:66:2a:e6:31:42,26:0c:a7:33:18:8f,14.175.64.221,133.181.20.70,1246,33123,507,3308,2,50169,49,61,1
1a:b0:1d:5f:ae:09,d9:14:10:bd:a8:55,109.2.254.98,218.162.195.91,48780,51186,239,3233,6,14043,60,59,0
32:28:c2:9e:cd:05,61:87:95:90:28:ae,232.11.209.119,224.45.157.80,41675,54029,382,3970,0,9075,113,84,0
94:67:63:d9:8f:c3,fb:69:dd:e7:f8:75,189.70.26.174,253.7.3.202,46391,22784,495,1580,6,60198,113,29,0
60:3d:25:f8:2a:88,c3:e3:66:4d:b3:aa,126.192.139.178,126.192.139.178,10397,54955,1211,1877,0,7349,105,120,1
10:ab:d6:3e:98:57,fd:9d:7e:e1:37:56,103.46.94.79,135.159.44.119,40670,38797,1218,24,1,51807,24,79,1
73:d8:b9:a1:4b:cb,b8:c4:2d:10:2c:b5,109.2.254.98,232.11.209.119,33309,48598,113,2542,0,61047,87,110,0
b4:53:d4:65:f0:79,ae:ad:6f:3e:e9:ac,135.159.44.119,177.60.81.35,46631,1519,699,3574,6,64563,94,71,1
54:79:3b:d3:21:2a,e3:8f:bd:98:66:e7,244.97.70.15,121.236.189.212,15106,3220,1097,1575,4,16164,49,66,1
70:50:66:5e:be:ad,e7:de:95:dd:72:15,156.93.211.233,169.62.68.11,55393,9824,898,3647,3,29237,97,120,1
eb:25:de:6c:26:2d,5e:62:93:77:55:6e,13.34.253.228,134.251.159.158,45008,41353,316,4010,0,11452,23,73,0
8e:9e:d1:ff:3f:33,12:a1:ba:60:2a:8e,220.122.63.186,243.41.46.98,27590,58704,711,1165,7,9396,4,4,0
5a:18:ba:da:24:22,56:40:ee:14:47:bf,62.212.208.208,144.208.144.190,34375,64502,788,3706,0,65194,109,34,1
dd:f9:10:12:bf:94,2a:63:6b:5f:5c:21,236.123.99.211,234.20.48.174,79,64965,767,602,0,20075,9,65,0
dd:f9:10:12:bf:94,99:82:55:1b:24:49,232.43.151.25,136.115.41.246,36016,24324,911,3831,1,15550,80,26,0
2b:f9:c9:81:9f:cc,65:5f:ff:ec:ca:ab,17.119.185.55,47.17.206.19,1248,59594,1199,3136,5,52599,54,72,1
94:67:63:d9:8f:c3,c7:3a:e1:8a:07:59,134.251.159.158,118.225.86.65,59449,15852,87,202,2,26357,44,121,1
d3:e1:1e:d0:74:a9,9a:46:33:cc:a7:ea,86.94.61.70,92.111.65.224,15114,46790,124,1513,7,3372,10,84,1
9c:9c:b6:0a:c0:b8,1a:28:7c:ee:40:f3,101.68.96.76,79.40.179.120,62560,54980,291,3334,6,53420,42,60,0
8b:42:e1:b2:b8:9f,a3:3e:a5:86:76:81,8.37.141.33,218.214.84.68,23862,29880,601,2416,4,24673,11,81,1
56:40:ee:14:47:bf,2c:5f:0f:d0:28:76,57.190.98.49,12.158.191.47,13248,28358,270,2190,6,17536,58,11,0
b0:e1:6c:b7:06:ab,60:64:9f:39:8b:32,159.48.9.18,133.181.20.70,40695,36596,467,1957,7,41655,46,117,1
fd:33:4a:e2:69:93,bf:2c:7c:c9:20:1c,11.107.1.119,232.247.93.255,21135,29947,1302,3434,0,24266,22,25,1
be:61:0a:be:90:6d,b9:03:1e:9e:87:3d,21.99.110.14,223.200.229.98,37431,48359,798,41,3,55600,85,21,0
88:b4:6a:38:3c:71,8e:9e:d1:ff:3f:33,126.192.139.178,59.242.239.27,2041,54808,1341,688,0,41457,42,126,1
94:67:63:d9:8f:c3,67:1a:63:9a:15:2c,106.22.15.255,164.92.142.73,4824,37801,1469,71,7,53828,51,34,0
99:ce:10:d0:ba:32,2a:3d:43:68:0f:d7,47.17.206.19,117.86.191.71,23130,61399,363,2052,6,42885,66,55,0
9b:c2:17:6a:ad:4c,5a:18:ba:da:24:22,199.1.233.173,14.194.206.15,45993,35401,1140,3321,5,64683,14,54,0
ad:d9:78:94:5d:a4,ef:7b:b0:24:02:ac,223.200.229.98,33.69.85.156,39446,26910,1198,4011,7,54940,87,35,1
fb:49:b7:72:3c:08,94:67:63:d9:8f:c3,101.68.96.76,183.65.196.80,32253,32174,1403,3935,0,14992,11,7,0
4e:e1:6c:5a:1b:d2,1a:28:7c:ee:40:f3,101.68.96.76,124.172.153.86,23097,5919,819,808,3,11564,18,78,0
21:d0:b3:86:71:b0,2f:92:ed:a2:fd:6b,28.171.212.197,180.138.144.108,25756,36689,848,1397,3,42403,75,21,1
b9:03:1e:9e:87:3d,49:6d:54:cd:fe:4d,126.160.7.208,119.138.183.228,63393,20626,254,4070,0,7103,91,65,1
b7:a1:5f:f1:46:43,6b:c0:b8:ab:03:fe,247.250.135.63,161.23.185.130,60748,37428,1027,1199,2,62246,49,105,1
d9:65:03:79:2d:20,ca:59:d5:97:0d:e7,253.7.3.202,233.165.151.142,28116,28376,494,1351,5,52255,83,55,0
21:d0:b3:86:71:b0,d9:ad:9d:59:72:cb,163.23.92.58,7.250.128.129,6597,32941,1400,1882,5,62194,16,93,0
1a:28:7c:ee:40:f3,81:f3:00:1b:2f:83,241.229.23.84,118.225.86.65,62453,65107,621,1097,1,60803,45,73,0
ee:45:44:7f:fb:a1,99:ce:10:d0:ba:32,52.58.189.234,88.156.194.252,43812,55568,728,3138,6,32113,63,2,1
96:f8:85:99:bf:90,b7:a1:5f:f1:46:43,145.150.127.180,90.154.22.189,20045,13969,1292,3887,3,21428,84,33,1
54:79:3b:d3:21:2a,e6:c9:de:7f:f2:5e,12.158.191.47,142.248.100.149,57002,54442,335,3876,5,27688,107,1,1
41:81:95:f7:6f:e6,a3:3e:a5:86:76:81,12.158.191.47,6.88.229.22,1557,9974,907,1384,0,57127,114,82,0
10:ab:d6:3e:98:57,bc:df:b5:dc:fa:56,210.57.26.132,223.13.4.63,42083,31054,681,2021,3,3481,97,67,1
46:7a:1b:92:a0:de,9b:da:dc:0f:db:74,201.250.252.138,50.48.115.222,30351,17597,660,2649,7,58860,100,26,0
55:e3:13:c7:73:11,b2:19:04:5c:98:3f,43.85.203.255,164.92.142.73,18934,38256,760,2241,3,33979,33,117,0
72:80:a0:5d:91:38,aa:45:d7:25:19:f3,142.248.100.149,194.99.65.146,29060,56289,428,3725,0,41379,13,118,0
c9:1d:16:05:e3:3c,10:ab:d6:3e:98:57,233.165.151.142,194.19.217.105,45284,50507,1316,2822,0,23037,71,37,0
b9:03:1e:9e:87:3d,64:54:6b:6a:b6:f2,72.244.48.124,93.76.75.244,49552,15124,1197,245,4,29272,50,119,0
8e:9e:d1:ff:3f:33,46:41:36:27:88:a3,240.193.25.216,103.46.94.79,46520,26247,658,3511,0,10865,101,57,1
62:2e:9e:de:91:3a,cf:b7:e3:04:06:36,186.36.132.123,148.32.149.134,15672,41527,579,3665,7,23133,18,15,1
47:18:11:96:19:80,40:1e:fc:b2:58:40,204.122.214.109,60.61.69.163,62174,28512,321,3409,7,18890,113,102,0
b2:19:04:5c:98:3f,c3:70:ac:14:fb:5e,59.242.239.27,87.236.202.129,42228,15225,696,2551,3,17689,50,63,1
dd:fc:9e:95:73:0f,7e:92:b6:21:98:11,21.33.152.193,231.33.243.82,15514,43472,883,221,0,35369,42,92,0
d2:6e:ca:ae:66:4f,ee:7c:72:36:2c:97,96.171.130.202,216.48.97.192,44614,35359,354,108,4,7519,75,44,1
d3:81:98:0f:8b:c9,56:8b:84:d8:73:94,43.96.119.196,80.196.253.241,47886,59708,1106,4044,4,42482,31,113,1
10:26:92:05:ee:59,af:04:e4:4e:78:d2,236.123.99.211,160.226.106.121,16027,44005,1114,1804,4,14759,10,36,0
62:2e:9e:de:91:3a,fd:33:4a:e2:69:93,136.173.120.87,15.9.215.166,11400,23358,894,1344,4,58597,117,101,1
1a:b0:1d:5f:ae:09,46:7a:1b:92:a0:de,214.135.213.31,189.70.26.174,55095,42829,1405,3794,7,18785,45,121,0
32:28:c2:9e:cd:05,c3:70:ac:14:fb:5e,93.76.75.244,229.84.102.89,43856,61789,145,1276,4,8517,24,71,0
32:28:c2:9e:cd:05,d8:d3:15:1d:de:d4,50.61.212.77,93.3.77.109,32474,31609,204,576,2,60210,62,33,0
a3:3d:b8:8d:e1:f8,ca:59:d5:97:0d:e7,104.147.41.32,62.212.208.208,60009,52701,1064,2189,5,2380,75,54,1
27:f6:19:3b:c8:02,c9:8c:2b:cc:99:68,87.45.61.88,173.199.154.54,63154,50815,675,3714,6,15760,40,121,0
fb:49:b7:72:3c:08,e1:ff:b7:8d:eb:17,112.37.123.5,160.226.106.121,3047,39046,606,1629,2,38425,72,26,0
dd:f9:10:12:bf:94,1c:80:c9:0b:08:1e,183.243.247.167,214.135.213.31,36019,64259,1316,338,0,34297,78,39,0
d8:d3:15:1d:de:d4,cb:71:33:ab:ef:a2,249.114.121.202,119.138.183.228,51215,53823,289,362,2,64435,70,2,1
9b:c2:17:6a:ad:4c,1b:08:a2:4d:55:cf,194.99.65.146,93.76.75.244,55885,55662,874,621,4,10018,111,73,1
18:22:46:0c:cf:d6,b7:a1:5f:f1:46:43,42.82.151.248,112.37.123.5,26650,29789,350,2890,5,27990,64,10,0
eb:25:de:6c:26:2d,a3:3d:b8:8d:e1:f8,194.99.65.146,112.37.123.5,48889,225,905,1531,5,37764,59,110,1
c5:3a:df:00:5c:9d,d9:66:a9:eb:aa:c1,130.185.103.211,36.86.252.203,52240,46008,1343,786,3,35509,65,15,1
a1:ca:73:c5:22:a3,b4:53:d4:65:f0:79,203.104.205.246,141.213.149.26,46931,24551,447,2551,0,12857,48,108,1
12:fc:04:cb:3f:c8,3a:05:4d:05:83:d3,93.141.99.168,61.239.119.213,33271,34013,1140,142,6,54485,120,47,0
e1:ff:b7:8d:eb:17,2a:3d:43:68:0f:d7,22.2.45.162,246.216.135.73,32946,32955,550,3120,4,46418,65,118,0
58:1e:5b:bd:0b:25,da:dc:4e:80:32:be,95.63.43.34,90.154.22.189,2766,16264,1070,1288,1,44189,67,84,1
31:0e:e1:2d:00:a5,b8:cb:27:3c:a1:fe,49.218.66.231,153.0.22.221,32845,31136,259,3139,6,8277,51,119,1
be:61:0a:be:90:6d,73:be:5d:f0:0f:4b,165.0.218.9,21.10.159.64,29748,354,360,3454,2,30523,73,98,0
ad:59:6a:19:0e:6d,15:b5:05:ec:29:b8,8.163.244.15,163.95.173.49,33029,14929,1379,3954,1,18025,18,121,0
a3:7e:26:23:0a:f2,3c:2c:43:72:c1:d5,22.2.45.162,81.222.99.13,59211,42061,71,438,5,13112,77,42,1
09:b2:d8:bf:5c:9e,8f:f4:11:fe:c3:d5,62.20.90.192,178.179.29.249,30122,19148,1363,3434,6,23768,85,91,1
e3:8f:bd:98:66:e7,dd:f9:10:12:bf:94,247.250.135.63,210.57.26.132,6969,23402,617,726,7,20978,25,66,1
73:be:5d:f0:0f:4b,15:66:2a:e6:31:42,97.60.237.71,116.130.106.211,18656,56950,888,3012,0,17223,61,95,0
0f:54:d7:84:66:80,61:87:95:90:28:ae,40.14.127.134,164.170.241.102,46770,29915,812,2101,1,38297,84,77,0
bf:2c:7c:c9:20:1c,bf:2c:7c:c9:20:1c,173.183.142.104,52.97.229.139,27829,52459,907,3097,4,32872,52,46,1
96:f8:85:99:bf:90,6e:ae:0c:87:4f:94,218.162.195.91,13.34.253.228,59378,31885,838,1204,4,45967,84,90,1
41:81:95:f7:6f:e6,49:75:00:3a:f9:11,243.41.46.98,244.97.70.15,41137,9767,1136,263,6,194,91,82,0
5b:f6:20:2b:8c:ae,96:19:c9:00:e3:45,138.231.207.107,39.177.208.117,23535,7943,1097,3297,0,26806,92,53,1
dd:f9:10:12:bf:94,2a:63:6b:5f:5c:21,189.70.26.174,183.65.196.80,4507,25448,391,2531,0,32311,65,28,0
55:a2:6c:f6:bf:b7,ab:a7:7e:88:7c:52,102.54.37.149,214.135.213.31,59512,53869,1122,2321,3,16904,118,59,1
68:f1:1b:f5:88:39,a0:5f:bf:ab:0e:f3,50.48.115.222,81.222.99.13,8974,8606,839,1246,5,21127,77,18,1
a3:7e:26:23:0a:f2,c3:a4:17:af:30:cb,12.158.191.47,92.111.65.224,5887,19516,908,1973,1,60456,108,4,1
99:5e:6e:aa:a2:d3,eb:25:de:6c:26:2d,47.17.206.19,141.213.149.26,6060,26346,208,3435,7,61269,97,123,0
1a:b0:1d:5f:ae:09,96:f8:85:99:bf:90,17.119.185.55,24.68.251.61,47172,55109,1364,2314,0,61769,4,68,1
dd:fc:9e:95:73:0f,5d:a2:94:c0:ea:a5,243.41.46.98,190.44.106.31,50157,44177,327,3033,2,61432,12,52,0
fd:9d:7e:e1:37:56,60:64:9f:39:8b:32,22.153.107.215,222.193.189.188,50620,39976,579,3923,0,13449,98,84,1
e4:13:4e:f2:68:da,39:f6:c9:ba:15:01,126.160.7.208,124.217.62.217,37622,11892,224,1648,4,18302,26,24,0
6d:79:c9:67:b9:7e,15:b5:05:ec:29:b8,16.21.180.159,150.184.101.61,49909,25716,91,619,7,16826,122,21,0
b7:a1:5f:f1:46:43,dd:f9:10:12:bf:94,173.199.154.54,116.130.106.211,39028,55355,145,2515,7,47745,98,41,0
ac:9f:9d:fb:fe:67,eb:25:de:6c:26:2d,135.159.44.119,194.19.217.105,15855,42523,885,1993,0,64252,70,92,0
32:c7:74:e3:bf:dc,31:eb:39:01:f9:10,238.189.98.53,40.14.127.134,17152,10549,1027,2398,4,38984,62,100,0
94:67:63:d9:8f:c3,15:b5:05:ec:29:b8,190.44.106.31,200.96.160.79,34346,14676,151,2047,4,31740,42,122,0
c9:1d:16:05:e3:3c,fd:9d:7e:e1:37:56,164.170.241.102,222.198.81.191,59719,3441,505,1655,0,32667,4,85,1
da:dc:4e:80:32:be,54:9b:ef:1e:b4:4b,46.55.118.178,64.117.227.189,54575,49168,1057,273,7,11722,17,88,0
f4:ed:48:bd:46:d8,6c:10:e6:7f:d2:6c,94.56.189.125,91.212.203.219,59860,58126,1353,3295,2,6373,105,121,1
ac:6b:05:ee:db:e7,3c:26:ca:41:0b:a1,210.57.26.132,80.196.253.241,50882,31037,1371,2680,3,34500,64,78,1
10:ab:d6:3e:98:57,55:a2:6c:f6:bf:b7,252.201.137.59,150.138.64.105,33925,62901,1397,3014,3,27414,108,113,0
eb:4d:de:b3:42:66,14:af:61:9f:29:10,43.96.119.196,163.23.92.58,25224,48486,1405,90,3,59980,75,105,1
46:41:36:27:88:a3,5d:a2:94:c0:ea:a5,28.171.212.197,91.203.31.66,25323,37430,855,2500,2,4756,105,27,0
90:88:9a:88:28:90,26:0c:a7:33:18:8f,141.213.149.26,246.216.135.73,32851,38792,1436,3202,2,47126,9,68,0
ee:45:44:7f:fb:a1,95:3e:6d:69:48:2b,91.212.203.219,203.151.73.14,48934,5089,1227,3471,6,14804,84,116,1
f7:84:69:72:3c:b0,72:80:a0:5d:91:38,220.122.63.186,134.251.159.158,40689,984,997,313,7,61865,55,111,0
